"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2024","First time applicant","17 and under","Woman","England","130"
"2025","First time applicant","17 and under","Woman","England","100"
"2026","First time applicant","17 and under","Woman","England","110"
"2017","First time applicant","18","Woman","England","13310"
"2018","First time applicant","18","Woman","England","14740"
"2019","First time applicant","18","Woman","England","16840"
"2020","First time applicant","18","Woman","England","17490"
"2021","First time applicant","18","Woman","England","19240"
"2022","First time applicant","18","Woman","England","20140"
"2023","First time applicant","18","Woman","England","19570"
"2024","First time applicant","18","Woman","England","19300"
"2025","First time applicant","18","Woman","England","18950"
"2026","First time applicant","18","Woman","England","20090"
"2017","Reapplier","18","Woman","England","10"
"2018","Reapplier","18","Woman","England","20"
"2019","Reapplier","18","Woman","England","20"
"2020","Reapplier","18","Woman","England","20"
"2021","Reapplier","18","Woman","England","20"
"2022","Reapplier","18","Woman","England","30"
"2023","Reapplier","18","Woman","England","30"
"2024","Reapplier","18","Woman","England","30"
"2025","Reapplier","18","Woman","England","20"
"2026","Reapplier","18","Woman","England","20"
"2017","First time applicant","19","Woman","England","880"
"2018","First time applicant","19","Woman","England","880"
"2019","First time applicant","19","Woman","England","1020"
"2020","First time applicant","19","Woman","England","980"
"2021","First time applicant","19","Woman","England","1190"
"2022","First time applicant","19","Woman","England","1020"
"2023","First time applicant","19","Woman","England","1050"
"2024","First time applicant","19","Woman","England","1010"
"2025","First time applicant","19","Woman","England","1080"
"2026","First time applicant","19","Woman","England","990"
"2017","Reapplier","19","Woman","England","1020"
"2018","Reapplier","19","Woman","England","1090"
"2019","Reapplier","19","Woman","England","1330"
"2020","Reapplier","19","Woman","England","1500"
"2021","Reapplier","19","Woman","England","2120"
"2022","Reapplier","19","Woman","England","2440"
"2023","Reapplier","19","Woman","England","2380"
"2024","Reapplier","19","Woman","England","1810"
"2025","Reapplier","19","Woman","England","1880"
"2026","Reapplier","19","Woman","England","1920"
"2017","First time applicant","20","Woman","England","170"
