"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2025","All","19","I prefer not to say","EU (excluding UK)","10"
"2017","First time applicant","All","Woman","Northern Ireland","500"
"2018","First time applicant","All","Woman","Northern Ireland","470"
"2019","First time applicant","All","Woman","Northern Ireland","520"
"2020","First time applicant","All","Woman","Northern Ireland","560"
"2021","First time applicant","All","Woman","Northern Ireland","650"
"2022","First time applicant","All","Woman","Northern Ireland","700"
"2023","First time applicant","All","Woman","Northern Ireland","570"
"2024","First time applicant","All","Woman","Northern Ireland","530"
"2025","First time applicant","All","Woman","Northern Ireland","530"
"2026","First time applicant","All","Woman","Northern Ireland","540"
"2017","Reapplier","All","Woman","Northern Ireland","60"
"2018","Reapplier","All","Woman","Northern Ireland","60"
"2019","Reapplier","All","Woman","Northern Ireland","60"
"2020","Reapplier","All","Woman","Northern Ireland","60"
"2021","Reapplier","All","Woman","Northern Ireland","60"
"2022","Reapplier","All","Woman","Northern Ireland","120"
"2023","Reapplier","All","Woman","Northern Ireland","120"
"2024","Reapplier","All","Woman","Northern Ireland","90"
"2025","Reapplier","All","Woman","Northern Ireland","90"
"2026","Reapplier","All","Woman","Northern Ireland","70"
"2017","First time applicant","All","Man","Northern Ireland","330"
"2018","First time applicant","All","Man","Northern Ireland","340"
"2019","First time applicant","All","Man","Northern Ireland","350"
"2020","First time applicant","All","Man","Northern Ireland","320"
"2021","First time applicant","All","Man","Northern Ireland","350"
"2022","First time applicant","All","Man","Northern Ireland","380"
"2023","First time applicant","All","Man","Northern Ireland","350"
"2024","First time applicant","All","Man","Northern Ireland","330"
"2025","First time applicant","All","Man","Northern Ireland","340"
"2026","First time applicant","All","Man","Northern Ireland","320"
"2017","Reapplier","All","Man","Northern Ireland","50"
"2018","Reapplier","All","Man","Northern Ireland","40"
"2019","Reapplier","All","Man","Northern Ireland","30"
"2020","Reapplier","All","Man","Northern Ireland","50"
"2021","Reapplier","All","Man","Northern Ireland","40"
"2022","Reapplier","All","Man","Northern Ireland","70"
"2023","Reapplier","All","Man","Northern Ireland","80"
"2024","Reapplier","All","Man","Northern Ireland","60"
"2025","Reapplier","All","Man","Northern Ireland","40"
"2026","Reapplier","All","Man","Northern Ireland","40"
"2025","First time applicant","All","I use another term","Northern Ireland","10"
"2024","First time applicant","All","I prefer not to say","Northern Ireland","10"
"2017","First time applicant","All","Woman","England","16740"
"2018","First time applicant","All","Woman","England","18440"
"2019","First time applicant","All","Woman","England","20770"
"2020","First time applicant","All","Woman","England","21490"
"2021","First time applicant","All","Woman","England","24330"
"2022","First time applicant","All","Woman","England","24660"
"2023","First time applicant","All","Woman","England","23450"
"2024","First time applicant","All","Woman","England","23020"
"2025","First time applicant","All","Woman","England","22880"
"2026","First time applicant","All","Woman","England","24450"
"2017","Reapplier","All","Woman","England","1940"
"2018","Reapplier","All","Woman","England","1960"
"2019","Reapplier","All","Woman","England","2310"
"2020","Reapplier","All","Woman","England","2480"
"2021","Reapplier","All","Woman","England","3410"
"2022","Reapplier","All","Woman","England","4080"
"2023","Reapplier","All","Woman","England","3820"
"2024","Reapplier","All","Woman","England","2960"
"2025","Reapplier","All","Woman","England","2930"
"2026","Reapplier","All","Woman","England","2970"
"2017","First time applicant","All","Man","England","14700"
"2018","First time applicant","All","Man","England","15440"
"2019","First time applicant","All","Man","England","16280"
"2020","First time applicant","All","Man","England","17120"
"2021","First time applicant","All","Man","England","18450"
"2022","First time applicant","All","Man","England","18350"
"2023","First time applicant","All","Man","England","17940"
"2024","First time applicant","All","Man","England","18220"
"2025","First time applicant","All","Man","England","18270"
"2026","First time applicant","All","Man","England","19400"
"2017","Reapplier","All","Man","England","1810"
"2018","Reapplier","All","Man","England","1810"
"2019","Reapplier","All","Man","England","1960"
"2020","Reapplier","All","Man","England","1990"
"2021","Reapplier","All","Man","England","2480"
"2022","Reapplier","All","Man","England","2930"
"2023","Reapplier","All","Man","England","2810"
"2024","Reapplier","All","Man","England","2090"
"2025","Reapplier","All","Man","England","2180"
"2026","Reapplier","All","Man","England","2330"
"2024","First time applicant","All","I use another term","England","340"
"2025","First time applicant","All","I use another term","England","240"
"2026","First time applicant","All","I use another term","England","210"
"2024","Reapplier","All","I use another term","England","20"
"2025","Reapplier","All","I use another term","England","20"
"2026","Reapplier","All","I use another term","England","10"
"2024","First time applicant","All","I prefer not to say","England","420"
"2025","First time applicant","All","I prefer not to say","England","430"
"2026","First time applicant","All","I prefer not to say","England","400"
"2024","Reapplier","All","I prefer not to say","England","30"
"2025","Reapplier","All","I prefer not to say","England","40"
"2026","Reapplier","All","I prefer not to say","England","50"
"2017","First time applicant","All","Woman","Scotland","1040"
"2018","First time applicant","All","Woman","Scotland","1070"
"2019","First time applicant","All","Woman","Scotland","1070"
"2020","First time applicant","All","Woman","Scotland","1110"
"2021","First time applicant","All","Woman","Scotland","1380"
"2022","First time applicant","All","Woman","Scotland","1400"
"2023","First time applicant","All","Woman","Scotland","1240"
"2024","First time applicant","All","Woman","Scotland","1100"
"2025","First time applicant","All","Woman","Scotland","1280"
"2026","First time applicant","All","Woman","Scotland","1360"
"2017","Reapplier","All","Woman","Scotland","160"
"2018","Reapplier","All","Woman","Scotland","140"
"2019","Reapplier","All","Woman","Scotland","180"
"2020","Reapplier","All","Woman","Scotland","130"
"2021","Reapplier","All","Woman","Scotland","180"
"2022","Reapplier","All","Woman","Scotland","240"
"2023","Reapplier","All","Woman","Scotland","190"
"2024","Reapplier","All","Woman","Scotland","130"
"2025","Reapplier","All","Woman","Scotland","100"
"2026","Reapplier","All","Woman","Scotland","140"
"2017","First time applicant","All","Man","Scotland","660"
"2018","First time applicant","All","Man","Scotland","680"
"2019","First time applicant","All","Man","Scotland","630"
"2020","First time applicant","All","Man","Scotland","730"
"2021","First time applicant","All","Man","Scotland","800"
"2022","First time applicant","All","Man","Scotland","780"
"2023","First time applicant","All","Man","Scotland","670"
"2024","First time applicant","All","Man","Scotland","730"
"2025","First time applicant","All","Man","Scotland","710"
"2026","First time applicant","All","Man","Scotland","710"
"2017","Reapplier","All","Man","Scotland","100"
"2018","Reapplier","All","Man","Scotland","90"
"2019","Reapplier","All","Man","Scotland","100"
"2020","Reapplier","All","Man","Scotland","70"
"2021","Reapplier","All","Man","Scotland","120"
"2022","Reapplier","All","Man","Scotland","130"
"2023","Reapplier","All","Man","Scotland","110"
"2024","Reapplier","All","Man","Scotland","70"
"2025","Reapplier","All","Man","Scotland","70"
"2026","Reapplier","All","Man","Scotland","70"
"2024","First time applicant","All","I use another term","Scotland","10"
"2025","First time applicant","All","I use another term","Scotland","10"
"2026","First time applicant","All","I use another term","Scotland","10"
"2024","First time applicant","All","I prefer not to say","Scotland","10"
"2025","First time applicant","All","I prefer not to say","Scotland","10"
"2026","First time applicant","All","I prefer not to say","Scotland","10"
"2017","First time applicant","All","Woman","Wales","640"
"2018","First time applicant","All","Woman","Wales","690"
"2019","First time applicant","All","Woman","Wales","760"
"2020","First time applicant","All","Woman","Wales","820"
"2021","First time applicant","All","Woman","Wales","1060"
"2022","First time applicant","All","Woman","Wales","1110"
"2023","First time applicant","All","Woman","Wales","890"
"2024","First time applicant","All","Woman","Wales","860"
"2025","First time applicant","All","Woman","Wales","890"
"2026","First time applicant","All","Woman","Wales","890"
"2017","Reapplier","All","Woman","Wales","70"
"2018","Reapplier","All","Woman","Wales","60"
"2019","Reapplier","All","Woman","Wales","70"
"2020","Reapplier","All","Woman","Wales","90"
"2021","Reapplier","All","Woman","Wales","120"
"2022","Reapplier","All","Woman","Wales","180"
"2023","Reapplier","All","Woman","Wales","170"
"2024","Reapplier","All","Woman","Wales","120"
"2025","Reapplier","All","Woman","Wales","90"
"2026","Reapplier","All","Woman","Wales","100"
"2017","First time applicant","All","Man","Wales","570"
"2018","First time applicant","All","Man","Wales","620"
"2019","First time applicant","All","Man","Wales","600"
"2020","First time applicant","All","Man","Wales","590"
"2021","First time applicant","All","Man","Wales","720"
"2022","First time applicant","All","Man","Wales","750"
"2023","First time applicant","All","Man","Wales","600"
"2024","First time applicant","All","Man","Wales","620"
"2025","First time applicant","All","Man","Wales","630"
"2026","First time applicant","All","Man","Wales","660"
"2017","Reapplier","All","Man","Wales","70"
"2018","Reapplier","All","Man","Wales","70"
"2019","Reapplier","All","Man","Wales","80"
"2020","Reapplier","All","Man","Wales","70"
"2021","Reapplier","All","Man","Wales","60"
"2022","Reapplier","All","Man","Wales","130"
"2023","Reapplier","All","Man","Wales","120"
"2024","Reapplier","All","Man","Wales","100"
"2025","Reapplier","All","Man","Wales","70"
"2026","Reapplier","All","Man","Wales","70"
"2024","First time applicant","All","I use another term","Wales","10"
"2024","First time applicant","All","I prefer not to say","Wales","10"
"2025","First time applicant","All","I prefer not to say","Wales","20"
"2026","First time applicant","All","I prefer not to say","Wales","10"
"2017","First time applicant","All","Woman","Not EU","5720"
"2018","First time applicant","All","Woman","Not EU","6330"
"2019","First time applicant","All","Woman","Not EU","6670"
"2020","First time applicant","All","Woman","Not EU","7170"
"2021","First time applicant","All","Woman","Not EU","8470"
"2022","First time applicant","All","Woman","Not EU","8510"
"2023","First time applicant","All","Woman","Not EU","8360"
"2024","First time applicant","All","Woman","Not EU","8350"
"2025","First time applicant","All","Woman","Not EU","8710"
"2026","First time applicant","All","Woman","Not EU","9970"
"2017","Reapplier","All","Woman","Not EU","280"
"2018","Reapplier","All","Woman","Not EU","320"
"2019","Reapplier","All","Woman","Not EU","320"
"2020","Reapplier","All","Woman","Not EU","360"
"2021","Reapplier","All","Woman","Not EU","550"
"2022","Reapplier","All","Woman","Not EU","600"
"2023","Reapplier","All","Woman","Not EU","550"
"2024","Reapplier","All","Woman","Not EU","450"
"2025","Reapplier","All","Woman","Not EU","430"
"2026","Reapplier","All","Woman","Not EU","440"
"2017","First time applicant","All","Man","Not EU","5100"
"2018","First time applicant","All","Man","Not EU","5770"
"2019","First time applicant","All","Man","Not EU","6210"
"2020","First time applicant","All","Man","Not EU","6510"
"2021","First time applicant","All","Man","Not EU","7710"
"2022","First time applicant","All","Man","Not EU","7640"
"2023","First time applicant","All","Man","Not EU","7530"
"2024","First time applicant","All","Man","Not EU","7610"
"2025","First time applicant","All","Man","Not EU","8190"
"2026","First time applicant","All","Man","Not EU","9220"
"2017","Reapplier","All","Man","Not EU","430"
"2018","Reapplier","All","Man","Not EU","440"
"2019","Reapplier","All","Man","Not EU","480"
"2020","Reapplier","All","Man","Not EU","520"
"2021","Reapplier","All","Man","Not EU","800"
"2022","Reapplier","All","Man","Not EU","730"
"2023","Reapplier","All","Man","Not EU","640"
"2024","Reapplier","All","Man","Not EU","530"
"2025","Reapplier","All","Man","Not EU","600"
"2026","Reapplier","All","Man","Not EU","620"
"2024","First time applicant","All","I use another term","Not EU","70"
"2025","First time applicant","All","I use another term","Not EU","60"
"2026","First time applicant","All","I use another term","Not EU","60"
"2024","First time applicant","All","I prefer not to say","Not EU","80"
"2025","First time applicant","All","I prefer not to say","Not EU","90"
"2026","First time applicant","All","I prefer not to say","Not EU","100"
"2024","Reapplier","All","I prefer not to say","Not EU","10"
"2025","Reapplier","All","I prefer not to say","Not EU","10"
"2026","Reapplier","All","I prefer not to say","Not EU","10"
"2017","First time applicant","All","Woman","EU (excluding UK)","3210"
"2018","First time applicant","All","Woman","EU (excluding UK)","3370"
"2019","First time applicant","All","Woman","EU (excluding UK)","3400"
"2020","First time applicant","All","Woman","EU (excluding UK)","3370"
"2021","First time applicant","All","Woman","EU (excluding UK)","2860"
"2022","First time applicant","All","Woman","EU (excluding UK)","2400"
"2023","First time applicant","All","Woman","EU (excluding UK)","2130"
"2024","First time applicant","All","Woman","EU (excluding UK)","2060"
"2025","First time applicant","All","Woman","EU (excluding UK)","2090"
"2026","First time applicant","All","Woman","EU (excluding UK)","2210"
"2017","Reapplier","All","Woman","EU (excluding UK)","220"
"2018","Reapplier","All","Woman","EU (excluding UK)","220"
"2019","Reapplier","All","Woman","EU (excluding UK)","250"
"2020","Reapplier","All","Woman","EU (excluding UK)","220"
"2021","Reapplier","All","Woman","EU (excluding UK)","210"
"2022","Reapplier","All","Woman","EU (excluding UK)","150"
"2023","Reapplier","All","Woman","EU (excluding UK)","130"
"2024","Reapplier","All","Woman","EU (excluding UK)","100"
"2025","Reapplier","All","Woman","EU (excluding UK)","100"
"2026","Reapplier","All","Woman","EU (excluding UK)","100"
"2017","First time applicant","All","Man","EU (excluding UK)","2580"
"2018","First time applicant","All","Man","EU (excluding UK)","2790"
"2019","First time applicant","All","Man","EU (excluding UK)","2690"
"2020","First time applicant","All","Man","EU (excluding UK)","2640"
"2021","First time applicant","All","Man","EU (excluding UK)","1960"
"2022","First time applicant","All","Man","EU (excluding UK)","1630"
"2023","First time applicant","All","Man","EU (excluding UK)","1490"
"2024","First time applicant","All","Man","EU (excluding UK)","1460"
"2025","First time applicant","All","Man","EU (excluding UK)","1440"
"2026","First time applicant","All","Man","EU (excluding UK)","1520"
"2017","Reapplier","All","Man","EU (excluding UK)","220"
"2018","Reapplier","All","Man","EU (excluding UK)","220"
"2019","Reapplier","All","Man","EU (excluding UK)","260"
"2020","Reapplier","All","Man","EU (excluding UK)","240"
"2021","Reapplier","All","Man","EU (excluding UK)","170"
"2022","Reapplier","All","Man","EU (excluding UK)","160"
"2023","Reapplier","All","Man","EU (excluding UK)","140"
"2024","Reapplier","All","Man","EU (excluding UK)","90"
"2025","Reapplier","All","Man","EU (excluding UK)","90"
"2026","Reapplier","All","Man","EU (excluding UK)","80"
"2024","First time applicant","All","I use another term","EU (excluding UK)","20"
"2025","First time applicant","All","I use another term","EU (excluding UK)","10"
"2026","First time applicant","All","I use another term","EU (excluding UK)","10"
"2024","First time applicant","All","I prefer not to say","EU (excluding UK)","20"
"2025","First time applicant","All","I prefer not to say","EU (excluding UK)","20"
"2026","First time applicant","All","I prefer not to say","EU (excluding UK)","10"
"2017","All","All","Woman","Northern Ireland","570"
"2018","All","All","Woman","Northern Ireland","530"
"2019","All","All","Woman","Northern Ireland","570"
"2020","All","All","Woman","Northern Ireland","610"
"2021","All","All","Woman","Northern Ireland","710"
"2022","All","All","Woman","Northern Ireland","820"
"2023","All","All","Woman","Northern Ireland","690"
"2024","All","All","Woman","Northern Ireland","620"
"2025","All","All","Woman","Northern Ireland","610"
"2026","All","All","Woman","Northern Ireland","610"
"2017","All","All","Man","Northern Ireland","380"
"2018","All","All","Man","Northern Ireland","380"
"2019","All","All","Man","Northern Ireland","370"
"2020","All","All","Man","Northern Ireland","370"
"2021","All","All","Man","Northern Ireland","400"
"2022","All","All","Man","Northern Ireland","440"
"2023","All","All","Man","Northern Ireland","420"
"2024","All","All","Man","Northern Ireland","390"
"2025","All","All","Man","Northern Ireland","390"
"2026","All","All","Man","Northern Ireland","360"
"2025","All","All","I use another term","Northern Ireland","10"
"2024","All","All","I prefer not to say","Northern Ireland","10"
"2017","All","All","Woman","England","18680"
"2018","All","All","Woman","England","20390"
"2019","All","All","Woman","England","23080"
"2020","All","All","Woman","England","23970"
"2021","All","All","Woman","England","27740"
"2022","All","All","Woman","England","28740"
"2023","All","All","Woman","England","27270"
"2024","All","All","Woman","England","25970"
"2025","All","All","Woman","England","25810"
"2026","All","All","Woman","England","27430"
"2017","All","All","Man","England","16510"
"2018","All","All","Man","England","17250"
"2019","All","All","Man","England","18240"
"2020","All","All","Man","England","19110"
"2021","All","All","Man","England","20930"
"2022","All","All","Man","England","21280"
"2023","All","All","Man","England","20750"
"2024","All","All","Man","England","20310"
"2025","All","All","Man","England","20460"
"2026","All","All","Man","England","21730"
"2024","All","All","I use another term","England","360"
"2025","All","All","I use another term","England","260"
"2026","All","All","I use another term","England","220"
"2024","All","All","I prefer not to say","England","450"
"2025","All","All","I prefer not to say","England","470"
"2026","All","All","I prefer not to say","England","450"
"2017","All","All","Woman","Scotland","1190"
"2018","All","All","Woman","Scotland","1220"
"2019","All","All","Woman","Scotland","1250"
"2020","All","All","Woman","Scotland","1240"
"2021","All","All","Woman","Scotland","1570"
"2022","All","All","Woman","Scotland","1640"
"2023","All","All","Woman","Scotland","1430"
"2024","All","All","Woman","Scotland","1230"
"2025","All","All","Woman","Scotland","1390"
"2026","All","All","Woman","Scotland","1500"
"2017","All","All","Man","Scotland","760"
"2018","All","All","Man","Scotland","770"
"2019","All","All","Man","Scotland","730"
"2020","All","All","Man","Scotland","800"
"2021","All","All","Man","Scotland","920"
"2022","All","All","Man","Scotland","910"
"2023","All","All","Man","Scotland","780"
"2024","All","All","Man","Scotland","800"
"2025","All","All","Man","Scotland","790"
"2026","All","All","Man","Scotland","780"
"2024","All","All","I use another term","Scotland","10"
"2025","All","All","I use another term","Scotland","10"
"2026","All","All","I use another term","Scotland","10"
"2024","All","All","I prefer not to say","Scotland","20"
"2025","All","All","I prefer not to say","Scotland","10"
"2026","All","All","I prefer not to say","Scotland","10"
"2017","All","All","Woman","Wales","720"
"2018","All","All","Woman","Wales","750"
"2019","All","All","Woman","Wales","830"
"2020","All","All","Woman","Wales","910"
"2021","All","All","Woman","Wales","1170"
"2022","All","All","Woman","Wales","1290"
"2023","All","All","Woman","Wales","1060"
"2024","All","All","Woman","Wales","980"
"2025","All","All","Woman","Wales","980"
"2026","All","All","Woman","Wales","990"
"2017","All","All","Man","Wales","640"
"2018","All","All","Man","Wales","690"
"2019","All","All","Man","Wales","680"
"2020","All","All","Man","Wales","650"
"2021","All","All","Man","Wales","790"
"2022","All","All","Man","Wales","880"
"2023","All","All","Man","Wales","730"
"2024","All","All","Man","Wales","710"
"2025","All","All","Man","Wales","700"
"2026","All","All","Man","Wales","730"
"2024","All","All","I use another term","Wales","10"
"2024","All","All","I prefer not to say","Wales","10"
"2025","All","All","I prefer not to say","Wales","20"
"2026","All","All","I prefer not to say","Wales","10"
"2017","All","All","Woman","Not EU","5990"
"2018","All","All","Woman","Not EU","6650"
"2019","All","All","Woman","Not EU","6990"
"2020","All","All","Woman","Not EU","7530"
"2021","All","All","Woman","Not EU","9020"
"2022","All","All","Woman","Not EU","9120"
"2023","All","All","Woman","Not EU","8910"
"2024","All","All","Woman","Not EU","8800"
"2025","All","All","Woman","Not EU","9140"
"2026","All","All","Woman","Not EU","10410"
"2017","All","All","Man","Not EU","5530"
"2018","All","All","Man","Not EU","6210"
"2019","All","All","Man","Not EU","6680"
"2020","All","All","Man","Not EU","7030"
"2021","All","All","Man","Not EU","8510"
"2022","All","All","Man","Not EU","8370"
"2023","All","All","Man","Not EU","8170"
"2024","All","All","Man","Not EU","8140"
"2025","All","All","Man","Not EU","8790"
"2026","All","All","Man","Not EU","9840"
"2024","All","All","I use another term","Not EU","70"
"2025","All","All","I use another term","Not EU","60"
"2026","All","All","I use another term","Not EU","60"
"2024","All","All","I prefer not to say","Not EU","90"
"2025","All","All","I prefer not to say","Not EU","100"
"2026","All","All","I prefer not to say","Not EU","110"
"2017","All","All","Woman","EU (excluding UK)","3430"
"2018","All","All","Woman","EU (excluding UK)","3580"
"2019","All","All","Woman","EU (excluding UK)","3650"
"2020","All","All","Woman","EU (excluding UK)","3590"
"2021","All","All","Woman","EU (excluding UK)","3070"
"2022","All","All","Woman","EU (excluding UK)","2550"
"2023","All","All","Woman","EU (excluding UK)","2260"
"2024","All","All","Woman","EU (excluding UK)","2160"
"2025","All","All","Woman","EU (excluding UK)","2190"
"2026","All","All","Woman","EU (excluding UK)","2310"
"2017","All","All","Man","EU (excluding UK)","2800"
"2018","All","All","Man","EU (excluding UK)","3020"
"2019","All","All","Man","EU (excluding UK)","2950"
"2020","All","All","Man","EU (excluding UK)","2880"
"2021","All","All","Man","EU (excluding UK)","2120"
"2022","All","All","Man","EU (excluding UK)","1790"
"2023","All","All","Man","EU (excluding UK)","1630"
"2024","All","All","Man","EU (excluding UK)","1550"
"2025","All","All","Man","EU (excluding UK)","1530"
"2026","All","All","Man","EU (excluding UK)","1600"
"2024","All","All","I use another term","EU (excluding UK)","20"
"2025","All","All","I use another term","EU (excluding UK)","10"
"2026","All","All","I use another term","EU (excluding UK)","10"
"2024","All","All","I prefer not to say","EU (excluding UK)","20"
"2025","All","All","I prefer not to say","EU (excluding UK)","30"
"2026","All","All","I prefer not to say","EU (excluding UK)","10"
"2018","First time applicant","17 and under","All","Northern Ireland","10"
"2019","First time applicant","17 and under","All","Northern Ireland","10"
"2020","First time applicant","17 and under","All","Northern Ireland","10"
"2021","First time applicant","17 and under","All","Northern Ireland","10"
"2022","First time applicant","17 and under","All","Northern Ireland","10"
"2023","First time applicant","17 and under","All","Northern Ireland","10"
"2025","First time applicant","17 and under","All","Northern Ireland","10"
"2026","First time applicant","17 and under","All","Northern Ireland","10"
"2017","First time applicant","18","All","Northern Ireland","690"
"2018","First time applicant","18","All","Northern Ireland","680"
"2019","First time applicant","18","All","Northern Ireland","710"
"2020","First time applicant","18","All","Northern Ireland","750"
"2021","First time applicant","18","All","Northern Ireland","800"
"2022","First time applicant","18","All","Northern Ireland","900"
"2023","First time applicant","18","All","Northern Ireland","750"
"2024","First time applicant","18","All","Northern Ireland","740"
"2025","First time applicant","18","All","Northern Ireland","700"
"2026","First time applicant","18","All","Northern Ireland","680"
"2017","First time applicant","19","All","Northern Ireland","30"
"2018","First time applicant","19","All","Northern Ireland","20"
"2019","First time applicant","19","All","Northern Ireland","30"
"2020","First time applicant","19","All","Northern Ireland","30"
"2021","First time applicant","19","All","Northern Ireland","40"
"2022","First time applicant","19","All","Northern Ireland","30"
"2023","First time applicant","19","All","Northern Ireland","30"
"2024","First time applicant","19","All","Northern Ireland","20"
"2025","First time applicant","19","All","Northern Ireland","30"
"2026","First time applicant","19","All","Northern Ireland","30"
"2017","Reapplier","19","All","Northern Ireland","90"
"2018","Reapplier","19","All","Northern Ireland","70"
"2019","Reapplier","19","All","Northern Ireland","60"
"2020","Reapplier","19","All","Northern Ireland","80"
"2021","Reapplier","19","All","Northern Ireland","80"
"2022","Reapplier","19","All","Northern Ireland","120"
"2023","Reapplier","19","All","Northern Ireland","150"
"2024","Reapplier","19","All","Northern Ireland","110"
"2025","Reapplier","19","All","Northern Ireland","100"
"2026","Reapplier","19","All","Northern Ireland","70"
"2017","First time applicant","20","All","Northern Ireland","10"
"2018","First time applicant","20","All","Northern Ireland","10"
"2019","First time applicant","20","All","Northern Ireland","10"
"2021","First time applicant","20","All","Northern Ireland","10"
"2022","First time applicant","20","All","Northern Ireland","10"
"2023","First time applicant","20","All","Northern Ireland","10"
"2024","First time applicant","20","All","Northern Ireland","10"
"2025","First time applicant","20","All","Northern Ireland","10"
"2026","First time applicant","20","All","Northern Ireland","10"
"2017","Reapplier","20","All","Northern Ireland","10"
"2018","Reapplier","20","All","Northern Ireland","10"
"2019","Reapplier","20","All","Northern Ireland","10"
"2020","Reapplier","20","All","Northern Ireland","10"
"2021","Reapplier","20","All","Northern Ireland","10"
"2022","Reapplier","20","All","Northern Ireland","10"
"2023","Reapplier","20","All","Northern Ireland","10"
"2024","Reapplier","20","All","Northern Ireland","10"
"2025","Reapplier","20","All","Northern Ireland","10"
"2026","Reapplier","20","All","Northern Ireland","10"
"2017","First time applicant","21 - 24","All","Northern Ireland","90"
"2018","First time applicant","21 - 24","All","Northern Ireland","80"
"2019","First time applicant","21 - 24","All","Northern Ireland","90"
"2020","First time applicant","21 - 24","All","Northern Ireland","70"
"2021","First time applicant","21 - 24","All","Northern Ireland","100"
"2022","First time applicant","21 - 24","All","Northern Ireland","90"
"2023","First time applicant","21 - 24","All","Northern Ireland","80"
"2024","First time applicant","21 - 24","All","Northern Ireland","60"
"2025","First time applicant","21 - 24","All","Northern Ireland","90"
"2026","First time applicant","21 - 24","All","Northern Ireland","90"
"2017","Reapplier","21 - 24","All","Northern Ireland","10"
"2018","Reapplier","21 - 24","All","Northern Ireland","20"
"2019","Reapplier","21 - 24","All","Northern Ireland","10"
"2020","Reapplier","21 - 24","All","Northern Ireland","10"
"2021","Reapplier","21 - 24","All","Northern Ireland","10"
"2022","Reapplier","21 - 24","All","Northern Ireland","30"
"2023","Reapplier","21 - 24","All","Northern Ireland","30"
"2024","Reapplier","21 - 24","All","Northern Ireland","20"
"2025","Reapplier","21 - 24","All","Northern Ireland","10"
"2026","Reapplier","21 - 24","All","Northern Ireland","20"
"2017","First time applicant","25 - 29","All","Northern Ireland","10"
"2018","First time applicant","25 - 29","All","Northern Ireland","10"
"2019","First time applicant","25 - 29","All","Northern Ireland","10"
"2020","First time applicant","25 - 29","All","Northern Ireland","10"
"2021","First time applicant","25 - 29","All","Northern Ireland","30"
"2022","First time applicant","25 - 29","All","Northern Ireland","30"
"2023","First time applicant","25 - 29","All","Northern Ireland","20"
"2024","First time applicant","25 - 29","All","Northern Ireland","30"
"2025","First time applicant","25 - 29","All","Northern Ireland","20"
"2026","First time applicant","25 - 29","All","Northern Ireland","30"
"2022","Reapplier","25 - 29","All","Northern Ireland","20"
"2023","Reapplier","25 - 29","All","Northern Ireland","10"
"2024","Reapplier","25 - 29","All","Northern Ireland","10"
"2025","Reapplier","25 - 29","All","Northern Ireland","10"
"2026","Reapplier","25 - 29","All","Northern Ireland","10"
"2019","First time applicant","30 - 34","All","Northern Ireland","10"
"2021","First time applicant","30 - 34","All","Northern Ireland","10"
"2022","First time applicant","30 - 34","All","Northern Ireland","10"
"2023","First time applicant","30 - 34","All","Northern Ireland","10"
"2025","First time applicant","30 - 34","All","Northern Ireland","10"
"2022","Reapplier","30 - 34","All","Northern Ireland","10"
"2021","First time applicant","35 and over","All","Northern Ireland","10"
"2022","First time applicant","35 and over","All","Northern Ireland","10"
"2025","First time applicant","35 and over","All","Northern Ireland","10"
"2017","First time applicant","17 and under","All","England","250"
"2018","First time applicant","17 and under","All","England","250"
"2019","First time applicant","17 and under","All","England","210"
"2020","First time applicant","17 and under","All","England","220"
"2021","First time applicant","17 and under","All","England","210"
"2022","First time applicant","17 and under","All","England","260"
"2023","First time applicant","17 and under","All","England","230"
"2024","First time applicant","17 and under","All","England","230"
"2025","First time applicant","17 and under","All","England","200"
"2026","First time applicant","17 and under","All","England","200"
"2017","Reapplier","17 and under","All","England","10"
"2023","Reapplier","17 and under","All","England","10"
"2017","First time applicant","18","All","England","25540"
"2018","First time applicant","18","All","England","27670"
"2019","First time applicant","18","All","England","30670"
"2020","First time applicant","18","All","England","32160"
"2021","First time applicant","18","All","England","34930"
"2022","First time applicant","18","All","England","35990"
"2023","First time applicant","18","All","England","35300"
"2024","First time applicant","18","All","England","36000"
"2025","First time applicant","18","All","England","35560"
"2026","First time applicant","18","All","England","37590"
"2017","Reapplier","18","All","England","30"
"2018","Reapplier","18","All","England","30"
"2019","Reapplier","18","All","England","40"
"2020","Reapplier","18","All","England","30"
"2021","Reapplier","18","All","England","40"
"2022","Reapplier","18","All","England","60"
"2023","Reapplier","18","All","England","50"
"2024","Reapplier","18","All","England","40"
"2025","Reapplier","18","All","England","40"
"2026","Reapplier","18","All","England","40"
"2017","First time applicant","19","All","England","1550"
"2018","First time applicant","19","All","England","1510"
"2019","First time applicant","19","All","England","1620"
"2020","First time applicant","19","All","England","1660"
"2021","First time applicant","19","All","England","1830"
"2022","First time applicant","19","All","England","1620"
"2023","First time applicant","19","All","England","1700"
"2024","First time applicant","19","All","England","1700"
"2025","First time applicant","19","All","England","1800"
"2026","First time applicant","19","All","England","1690"
"2017","Reapplier","19","All","England","2140"
"2018","Reapplier","19","All","England","2240"
"2019","Reapplier","19","All","England","2600"
"2020","Reapplier","19","All","England","2800"
"2021","Reapplier","19","All","England","3790"
"2022","Reapplier","19","All","England","4360"
"2023","Reapplier","19","All","England","4280"
"2024","Reapplier","19","All","England","3260"
"2025","Reapplier","19","All","England","3460"
"2026","Reapplier","19","All","England","3620"
"2017","First time applicant","20","All","England","300"
"2018","First time applicant","20","All","England","340"
